IDNO	LINE	BDNO	BCNO	FR_CODE	FR_SEQ	CAR_FAMILY	CAR_NAME	RS_DATETIME	RF_DATETIME	STAYRESULT
7111240122	1	12708	891	740	0072730	    	CX	2015-11-23 17:28:55.000	2015-11-23 19:31:42.000	113
7111240124	1	12715	898	740	0072731	    	CX	2015-11-23 17:31:30.000	2015-11-24 13:12:19.000	21
7111240127	1	12611	794	740	0072718	    	CX	2015-11-23 15:10:52.000	2015-11-23 16:38:45.000	53
7111240130	1	12873	055	740	0072750	    	CX	2015-11-23 20:31:39.000	2015-11-23 22:26:26.000	70
7111240132	1	12934	116	740	0072758	    	CX	2015-11-24 14:36:01.000	NULL	NULL
7111240133	1	13113	294	740	0072783	    	CX	2015-11-24 15:47:50.000	2015-11-24 15:47:50.000	64
7111240134	1	12957	139	740	0072762	    	CX	2015-11-23 22:39:14.000	2015-11-24 00:13:39.000	84
7111240137	1	12838	020	740	0072744	    	CX	2015-11-23 19:45:47.000	2015-11-23 21:50:24.000	80
7111240138	1	13024	206	740	0072771	    	CX	2015-11-24 01:09:58.000	2015-11-24 07:10:36.000	100
7111240139	1	13445	625	740	0072832	    	CX	2015-11-24 12:48:34.000	2015-11-24 13:44:02.000	46
7111240144	1	12544	727	741	0016957	    	CX	2015-11-23 14:31:44.000	2015-11-23 15:40:19.000	59
7111240147	1	13216	397	740	0072799	    	CX	2015-11-24 09:33:17.000	2015-11-24 11:30:10.000	72
7111240150	1	12830	012	739	0037164	    	CW	2015-11-24 10:17:30.000	NULL	NULL
7111240153	1	13061	243	740	0072777	    	CX	2015-11-24 00:22:09.000	2015-11-24 01:16:55.000	44
7111240159	1	12673	856	741	0016962	    	CX	2015-11-23 16:56:45.000	2015-11-23 18:32:08.000	20
7111240162	1	13138	319	740	0072787	    	CX	2015-11-24 14:34:59.000	2015-11-25 01:25:04.000	27
7111240165	1	12799	981	740	0072740	    	CX	2015-11-24 08:07:36.000	2015-11-24 13:03:36.000	90
7111240172	1	12938	120	740	0072759	    	CX	2015-11-23 22:09:10.000	2015-11-23 23:20:32.000	71
7111240175	1	13329	510	740	0072814	    	CX	2015-11-24 11:52:02.000	2015-11-24 12:38:10.000	46
7111240191	1	13056	238	921	J050287	    	CF	2015-11-24 00:01:42.000	2015-11-24 06:36:07.000	130
7111240205	1	12815	997	917	J068355	    	CF	2015-11-24 10:27:40.000	2015-11-24 10:42:10.000	13
7111240206	1	12662	845	917	J068320	    	CF	2015-11-24 00:16:09.000	2015-11-24 00:35:45.000	19
7111240210	1	12827	009	921	J050247	    	CF	2015-11-23 19:26:20.000	2015-11-24 06:30:45.000	344
7111240212	1	13172	353	921	J050309	    	CF	2015-11-24 07:33:02.000	2015-11-24 08:43:23.000	60
7111240215	1	12613	796	921	J050205	    	CF	2015-11-24 00:01:33.000	2015-11-24 00:27:53.000	26
7111240216	1	12979	161	921	J050274	    	CF	2015-11-23 23:12:20.000	2015-11-24 00:09:05.000	47
7111240225	1	12655	838	921	J050214	    	CF	2015-11-24 00:13:39.000	2015-11-24 06:43:12.000	13
